pow_hashrate_THs,blk
492051.2982,381627
479672.6492,382090
504429.9473,382533
442536.7022,382967
546646.8648,383456
576106.8755,383931
458266.8327,384369
569560.2064,384882
556720.6312,385349
527800.079,385812
694093.2545,386290
527800.079,386746
593762.3031,387227
770711.3338,387786
585897.9018,388250
660609.7147,388791
720030.5864,389272
654995.5657,389736
622478.0553,390193
747902.7381,390720
743604.4442,391186
769424.0429,391611
702293.0862,392090
821063.2404,392561
908849.8762,393076
693089.3552,393479
986102.7412,393945
755072.9561,394367
935388.8859,394893
918901.0182,395370
1056139.482,395872
978569.9154,396394
1074040.151,396929
1153414.864,397453
1375500.956,397985
1289532.147,398478
1002969.447,398923
1284099.851,399387
1097173.923,399778
1219082.137,400191
1097173.923,400605
1080919.495,401038
1094688.803,401491
1299450.738,401946
1141941.557,402405
1197069.77,402851
1135311.137,403280
1036588.429,403701
1242260.737,404145
1258714.521,404585
1308075.875,405059
1244135.057,405475
1235840.823,405938
1169486.954,406378
1252429.291,406866
1465554.23,407342
1358968.468,407777
1465554.23,408226
1279029.147,408664
1341204.175,409074
1403229.58,409496
1394348.38,409954
1385467.181,410427
1447635.58,410907
1284309.113,411369
1390530.167,411804
1361560.789,412225
1438812.464,412647
1747819.168,413152
1357376.357,413572
1456454.923,413991
1426731.353,414405
1179034.937,414804
1406915.64,415284
1403462.34,415737
1569148.866,416200
1452193.671,416633
1725089.126,417117
1343144.516,417559
1728387.516,417990
1551383.975,418431
1634679.759,418882
1601825.836,419336
1463920.3,419758
1654866.426,420208
1379055.355,420623
1665474.544,421056
1358434.534,421481
1369047.303,421893
1400885.613,422279
1453949.462,422672
1634366.548,423092
1686075.879,423565
1676039.713,424053
1254520.743,424473
1495388.726,424923
1577645.903,425395
1664092.254,425807
1761344.399,426279
1653286.46,426736
1556034.316,427142
1810682.895,427607
1678996.866,428034
1536337.002,428479
1580232.344,428911
1799709.059,429372
1751289.223,429856
1829872.714,430312
1717610.584,430741
1526764.964,431184
1834694.782,431688
1714780.091,432146
1690797.152,432586
2002575.351,433062
2171858.804,433535
1786321.738,433958
1747768.032,434366
1606404.441,434763
1722065.561,435177
1815470.125,435634
1752432.968,436054
1878507.282,436517
1815470.125,436976
1462462.045,437380
1847956.772,437826
2126416.012,438310
1809985.057,438783
2177044.964,439282
1989192.74,439731
1877125.543,440132
2129276.735,440593
2297377.53,441054
2045226.338,441491
2109770.131,441954
2494660.628,442430
1881686.874,442854
2537426.239,443375
2050571.629,443774
2343510.433,444210
2451435.255,444666
2574777.91,445120
2589949.671,445582
2337271.654,446037
2589949.671,446516
2542572.542,446970
2147763.141,447411
2897297.864,447896
2796813.545,448385
2528855.361,448862
3031276.956,449406
2910612.149,449867
3320832.653,450341
2852009.22,450804
3066886.627,451298
3336807.821,451750
3063987.056,452172
2917083.567,452627
3546669.948,453099
3168918.119,453540
3242870.593,453973
3286693.168,454399
3900209.227,454907
3155225.442,455348
3069265.85,455788
3504460.261,456230
3573175.168,456676
3321220.509,457125
3504460.261,457576
3925474.045,458052
3807236.875,458489
3145108.723,458946
3665352.271,459399
3352999.966,459836
4371318.475,460302
3651044.408,460736
3949088.849,461194
3526859.224,461650
3909321.047,462066
3779873.33,462496
4323553.741,462944
3210303.377,463366
3814281.634,463814
3918071.61,464274
3425069.222,464714
4359179.01,465179
4021861.587,465681
4286790.827,466118
4732171.692,466610
3952755.178,467039
4091936.698,467515
4562009.633,467983
4976737.782,468467
5302595.613,468962
4325022.12,469442
5533581.086,469959
5567322.434,470440
4926236.821,470878
4723788.732,471306
5129905.644,471752
4882255.027,472186
5660585.539,472625
5023769.665,473035
4245439.154,473443
6622798.791,473949
5248920.318,474421
5812562.768,474876
6094383.994,475384
5559049.844,475857
5918988.323,476295
6478892.624,476771
6878824.267,477257
5878995.159,477730
6713613.086,478191
6371518.151,478632
7654374.155,479101
6542565.619,479571
6149818.078,480007
6792336.385,480434
5966241.419,480846
6930018.879,481325
4084580.664,481659
4459277.508,482020
5695512.856,482409
7196655.78,482889
6799294.418,483381
7430760.766,483915
7751843.021,484435
8623352,484935
8256400.851,485479
6965995.452,485951
9653662.988,486400
7953301.894,486850
8063002.609,487260
7569349.388,487744
10223761.09,488207
8882939.962,488625
8994675.056,489126
8547734.68,489578
11601113.07,490050
8983426.015,490539
9102411.79,491049
9935312.215,491569
7510989.944,492038
10616495.4,492424
10833158.57,492868
10183169.06,493258
10399832.23,493691
5426063.163,494044
8681701.061,494392
11326906.85,494863
11869513.17,495334
10648648.96,495812
10244850.06,496270
11584046.14,496769
10780528.49,497280
11918845.17,497815
12337090.77,498311
13523349.5,498820
14630524.31,499347
14630524.31,499872
12663310.64,500330
12942648.37,500756
