,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,blk,PriceRealised,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,notes,blk_reward,Sply_ideal,PoWSply_ideal,inflation_ideal,S2F_ideal
1441,2015-09-17 00:00:00+00:00,10195.0,618.0,2188900.0,3541.90938511327,0.45955875,123949568.31102106,269714301.68203074,47082.8958561719,0.0132567148161245,0.038813682601368624,0.001,0.00292785076391313,37.4899895,109.76509439667022,15450.0,13.320645360351,45235.294302457856,15450.0,45235.294302457856,43.9300708,17.96854332232434,0.012554960946262444,2.92785076391313,-42.39731678554745,-13.581238316023079,42334660.57722151,2828.0,10693.0,963682.95802502,2821519.8848236194,336.438295853749,985.0411215250307,0.07617751,0.2230363808465001,3597534.69756414,10533044.712467158,0.07304707589769714,0.03657535302559168,0.05083521453811044,853443.0,6.371004231628412,351648.0,15450.0,45235.294302457856,0.13320645360350997,7.507143782811813,,25.0,42336050.0,42336050.0,0.12414951323989838,8.05480403348554
1442,2015-09-18 00:00:00+00:00,10190.0,569.0,2548957.0,4479.71353251318,0.46613107,125739899.6453646,269752239.38332444,47082.8958561719,0.0129498030930376,0.038449817962189985,0.001,0.00296914305846568,42.03506084,124.80810910526854,14225.0,12.2603580453903,42236.0600066743,14225.0,42236.0600066743,45.51772228,18.310009727251785,0.01273353228872004,2.96914305846568,-37.75325101157808,-15.035489102839305,42348885.57722151,3246.0,9842.0,930382.35347204,2762438.30653047,409.68394924841,1216.4102540757224,0.45789037,1.359542013623782,4032109.42850285,11971909.720613258,0.07303868705085824,0.036130422824295454,0.05021369497108232,854012.0,6.369760046966099,351792.0,14225.0,42236.0600066743,0.12260358045390277,8.156368650065534,,25.0,42350275.0,42350275.0,0.12410781275918516,8.057510464231354
1443,2015-09-19 00:00:00+00:00,8636.0,574.0,2324767.0,4050.11672473868,0.45343732,122306980.65238895,269732938.5195681,47082.8958561719,0.0155193788639761,0.04480602920410622,0.001,0.00288710196437764,41.52985784,119.90093415018814,14350.0,12.3639045238941,41429.91318881913,14350.0,41429.91318881913,57.84725916,17.89331077715672,0.012431460862653435,2.88710196437764,-33.81397106516423,-20.245124738412795,42363235.57722151,2676.0,9504.0,732329.17495034,2114308.999570183,428.860888775094,1238.1651144273144,0.12507923,0.3611164906358426,4075893.88691849,11767521.247517187,0.07305542831734867,0.035515026927538954,0.050099730751807035,854586.0,6.367146768756305,351936.0,14350.0,41429.91318881913,0.12363904523894087,8.08805986868818,,25.0,42364625.0,42364625.0,0.12406577421610601,8.060240677321156
1444,2015-09-20 00:00:00+00:00,21884.0,565.0,3565827.0,6311.1982300885,0.44811221,120859552.67190582,269708235.5017306,47641.1883764003,0.00847661829414838,0.024175179417661532,0.001,0.0028519839609093,32.44849483,92.54258681080834,14125.0,12.1659889379029,40284.273447843865,14125.0,40284.273447843865,46.53196857,17.759077856869073,0.01232691612974868,2.8519839609093,-34.17475077902066,-20.323311063210625,42377360.57722151,3828.0,24416.0,910714.97459354,2597344.5005006967,169.384851304409,483.0828791411812,0.01441398,0.04110843977286743,4135700.52944844,11794951.57711105,0.07294300973074906,0.03551901798359373,0.050042669159102236,855151.0,6.364441575124973,352080.0,14125.0,40284.27344784386,0.12165988937902915,8.219635946606186,,25.0,42378750.0,42378750.0,0.12402442261746748,8.062928082191782
1445,2015-09-21 00:00:00+00:00,11782.0,556.0,3141371.0,5649.94784172662,0.43962731,118537053.88339998,269630777.49265814,47940.0569266314,0.0134161005136484,0.037514926610745424,0.001,0.00279626159423753,45.70865445,127.81335496280937,13900.0,11.9682687679408,38868.03615990167,13900.0,38868.03615990167,32.0171532,17.423280555814387,0.01233063931911165,2.79626159423753,-34.501333435669075,-21.311796590923937,42391260.57722151,3407.0,10560.0,1324017.17028895,3702298.3633900424,492.763661718275,1377.8961022986666,0.24500759,0.6851053142136951,5203584.26774498,14550582.840273907,0.07296018643325532,0.035588134562623476,0.05007210839653605,855707.0,6.360527472437122,352224.0,13900.0,38868.03615990167,0.11968268767940793,8.355427333639797,,25.0,42392650.0,42392650.0,0.12398375661818735,8.065572678843226
1446,2015-09-22 00:00:00+00:00,11242.0,537.0,2834255.0,5277.94227188082,0.44600769,120263163.75522259,269643700.0125143,47940.0569266314,0.0122742886967146,0.034810888735956225,0.001,0.00283608195929707,45.20620527,128.20850321452713,13425.0,11.5556215859131,38074.40030356316,13425.0,38074.40030356316,34.45258881,17.736894607251223,0.012297304775569843,2.83608195929707,-33.61946493182743,-17.304043359662263,42404685.57722151,3683.0,10776.0,1230812.75011665,3490685.8358786437,458.172592940832,1299.4150250838538,0.315230615,0.8940198602196203,4937267.86153041,14002496.310303621,0.07296193273858756,0.035417457915145806,0.04254073077855929,856244.0,6.358818520690991,352368.0,13425.0,38074.40030356316,0.11555621585913128,8.653796704619069,,25.0,42406075.0,42406075.0,0.12394450559265388,8.068126902587519
1447,2015-09-23 00:00:00+00:00,8651.0,603.0,2261093.0,3749.73963515755,0.44702794,120545950.13592702,269660883.26311326,47850.7439187905,0.00782284176171079,0.022230485983337052,0.001,0.0028417404647177,23.04609183,65.491011706911,15075.0,12.9712542577495,42839.23750561933,15075.0,42839.23750561933,55.85252466,17.864689659640764,0.012348282981881982,2.8417404647177,-41.07495683119961,-6.09272900381452,42419760.57722151,2946.0,9495.0,759495.8479655,2158290.0839486434,324.49618043138,922.1339265781884,0.25917583,0.7365104435877956,3081091.23319595,8755661.63285989,0.07295541250033331,0.027412602079890658,0.04251332540881123,856847.0,6.35696382048689,352512.0,15075.0,42839.23750561933,0.12971254257749526,7.7093547017826864,,25.0,42421150.0,42421150.0,0.12390046002996147,8.070995053272451
1448,2015-09-24 00:00:00+00:00,8892.0,581.0,2195070.0,3778.08950086059,0.4597448,124006343.1674508,269728648.07556903,46818.0622656317,0.00866516443459766,0.02532233876127543,0.001,0.00292231485650407,24.44442887,71.434317645558,14525.0,12.4937298410554,42446.62329072162,14525.0,42446.62329072162,54.54715107,18.429206932675864,0.01247147702513151,2.92231485650407,-38.184166187730554,-2.5925103988378972,42434285.57722151,2821.0,9082.0,777937.70603687,2273378.915786241,240.32631556999,702.3091623990672,0.22603476,0.6605447372343319,2182643.59800665,6378371.81290833,0.07297864518075066,0.027921035288915083,0.042731832448472326,857428.0,6.356384805506372,352656.0,14525.0,42446.62329072162,0.12493729841055419,8.004014915657278,,25.0,42435675.0,42435675.0,0.12385805103842462,8.073758561643835
1449,2015-09-25 00:00:00+00:00,10578.0,558.0,2601504.0,4662.1935483871,0.45691607,123254247.01620848,269752485.7863717,46818.0622656317,0.0100519780070032,0.02918729043573038,0.001,0.00290363651963779,34.44812863,100.02484432324812,13950.0,11.9951982238157,40505.72944894717,13950.0,40505.72944894717,53.24173425,18.396626158601382,0.012327665962010535,2.90363651963779,-35.21978425268397,-1.7316139562735564,42448235.57722151,3427.0,10842.0,797273.72101631,2314993.0924904686,254.190099830786,738.0756567990459,0.090755885,0.2635221020580475,2755929.06236538,8002216.27101525,0.07294107903879579,0.02781124722418288,0.04271646985390819,857986.0,6.354857442676033,352800.0,13950.0,40505.72944894717,0.11995198223815749,8.336669234982375,,25.0,42449625.0,42449625.0,0.12381734820978985,8.076412671232877
1450,2015-09-26 00:00:00+00:00,9083.0,568.0,1955149.0,3442.16373239437,0.45284749,122148191.44656621,269733619.2489193,46818.0622656317,0.0082992362,0.023873729295963424,0.001,0.00287661764536397,21.16305231,60.87800970470673,14200.0,12.2060826929588,40847.970564168376,14200.0,40847.970564168376,94.75468821,18.37384168562431,0.012262225143191122,2.87661764536397,-35.60509797406471,-0.34137572478972034,42462435.57722151,2550.0,9315.0,448130.18098613,1289099.186044851,108.558802959395,312.282168152586,0.0502386,0.14451724323838233,1011225.24956676,2908908.396341326,0.07293954371206966,0.02753071055729844,0.040877564590704074,858554.0,6.352287983066493,352944.0,14200.0,40847.97056416837,0.12206082692958764,8.192636615323464,,25.0,42463825.0,42463825.0,0.12377594340594612,8.079114345509893
