,blk,window,ticket_count,ticket_price,pow_diff,circulation,ticket_pool_value,ticket_pool_size,pow_hashrate_THs,pow_work_total,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,PriceRealised,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,age,notes,blk_reward,Sply_ideal,PoWSply_ideal,PoSSply_ideal,FundSply_ideal,inflation_ideal,S2F_ideal,PoW_Income,PoS_Income,Fund_Income,ticket_dcr_cost,ticket_usd_cost,CapTicket,CapTicketPrice,dcr_hodl_rating,dcr_hodl_rating_tot,dcr_hodl_rating_pool,dcr_hodl_rating_posideal,CapAvg,PriceAvg,CapDelta,PriceDelta,CapTop,PriceTop,CapS2Fmodel,PriceS2Fmodel,CapPlanBmodel,PricePlanBmodel,CapInflow,PriceInflow,CapFee,PriceFee,MinerIncome,FeesPct,MinerCap,btc_blk
2407,346752.0,144,618,117.76574282,32011550008.50758,9822523.41921381,474841319511364,41153,426931.0,6045934,2019-05-22 00:00:00+00:00,8599.0,296.0,2152549.0,7272.125,1.04942821,275862274.42027503,262869123.20666364,30297651613.357,0.00017361445505433,0.004879369516949734,4.55e-05,0.0012787605326511425,0.5272671,14.818645222976334,167.37865395,182.34460278373115,0.0036652302898889538,28.1046270912339,-74.37639277485981,9.127135713978143,9815546.51213711,4465.0,4848.0,58642.76167037,1648132.9483458537,61.32210693,1723.43494771642,10.54691072,296.41699275013724,297289.57438765,8355212.626276544,0.05029423110551935,0.05991913840639379,0.05030105488976039,26.78089527481949,545040.0,5103.370242768899,143428.31758151972,0.18977345136181126,5.269440971980095,1199.0,,17.868971921679076,9997918.203979293,4990750.922407414,3335375.4612052063,1671791.820401727,0.18787774515491476,5.322610185551509,1543.8791740330723,771.9395870165362,257.3131956721787,72779.22906276,2045433.0927963625,4284533253.1533895,436.504808759806,3137.7598244186725,30798827500.49665,14899380153.367083,9239648250.148994,214139897.2358447,21.816400846458897,48729225.97081894,4.964494428360593,2569678766.8301363,261.79681015750674,458087349.3439786,46.66957145764068,557807301.4408835,56.82896013493943,431063592.4731358,43.91641279883066,1745278.4320551734,0.17780756577304213,432808870.905191,0.00403244607349438,373577524518.753,206976.0
2408,346896.0,144,833,117.80012818,31512367446.263317,9825035.79663327,474947173442200,41153,449604.0,6065422,2019-05-22 00:00:00+00:00,8599.0,296.0,2152549.0,7272.125,1.04942821,275862274.42027503,262869123.20666364,30297651613.357,0.00017361445505433,0.004879369516949734,4.55e-05,0.0012787605326511425,0.5272671,14.818645222976334,167.37865395,182.34460278373115,0.0036652302898889538,28.1046270912339,-74.37639277485981,9.127135713978143,9815546.51213711,4465.0,4848.0,58642.76167037,1648132.9483458537,61.32210693,1723.43494771642,10.54691072,296.41699275013724,297289.57438765,8355212.626276544,0.05029423110551935,0.05991913840639379,0.05030105488976039,26.78089527481949,545040.0,5103.370242768899,143428.31758151972,0.18977345136181126,5.269440971980095,1199.0,,17.868971921679076,10000491.33593599,4992294.801581512,3336147.4007922555,1672049.13359741,0.18782940410708313,5.323980048565195,1543.8791740330723,771.9395870165362,257.3131956721787,98127.50677394,2757836.9852741123,4287291090.138664,436.78577497822937,3186.396511739027,31276223167.08586,15133700167.165369,9382866950.125757,214165518.81209397,21.819011152081472,48703604.394569665,4.961884122738019,2569986225.7451277,261.82813382497767,458087349.3439786,46.66957145764068,557807301.4408835,56.82896013493943,431207020.79071736,43.93102516070009,1745293.2507003965,0.17780907548472297,432952314.0414178,0.004031144294873628,374010476832.79443,207048.0
2409,347040.0,144,640,118.6456301,31140295249.21018,9827545.31501724,474121774215034,41070,438078.0,6084684,2019-05-23 00:00:00+00:00,7983.0,278.0,1978152.0,7115.65467626,1.03316718,271940381.68596643,263210434.02521566,31652692306.1311,0.000188644509734513,0.005223829864167769,4.19e-05,0.0011602695017027846,0.53292074,14.757319366273968,131.20142824,178.10470804241803,0.0035063623775569795,27.6913962220235,-73.22125780291195,10.213339407370444,9820392.56907122,4181.0,4526.0,74849.73830718,2072693.760578892,67.43646509,1867.4098746198456,15.34567936,424.943287453888,305217.44099594,8451897.092490653,0.049385037417839346,0.05978880573686649,0.05034477872384271,26.802435052767876,545184.0,4846.05693411082,134194.08267694715,0.1801160970408882,5.551974623195337,1200.0,,17.868971921679076,10003064.467892686,4993838.680755611,3336919.3403793047,1672306.446793093,0.1877810879292092,5.325349911578879,1543.8791740330723,771.9395870165362,257.3131956721787,75933.20326400001,2102696.417990872,4289393786.5566545,436.7843501558035,3160.750573129683,31039811441.05034,14985806695.834309,9311943432.315102,214189491.7842408,21.810685293663177,49020942.24097484,4.9917497591046995,2570273901.4108896,261.7282235239581,519953752.5057483,52.94633069387813,663408578.4520229,67.554181137462,431341214.8733943,43.923011411160836,1745308.0080197628,0.17772283498284103,433086522.88141406,0.004029929161516891,374443563355.67584,207120.0
2410,347184.0,144,714,118.79494374,31669537190.13466,9830063.05312823,474681358458289,41101,439916.0,6104272,2019-05-23 00:00:00+00:00,7983.0,278.0,1978152.0,7115.65467626,1.03316718,271940381.68596643,263210434.02521566,31652692306.1311,0.000188644509734513,0.005223829864167769,4.19e-05,0.0011602695017027846,0.53292074,14.757319366273968,131.20142824,178.10470804241803,0.0035063623775569795,27.6913962220235,-73.22125780291195,10.213339407370444,9820392.56907122,4181.0,4526.0,74849.73830718,2072693.760578892,67.43646509,1867.4098746198456,15.34567936,424.943287453888,305217.44099594,8451897.092490653,0.049385037417839346,0.05978880573686649,0.05034477872384271,26.802435052767876,545184.0,4846.05693411082,134194.08267694715,0.1801160970408882,5.551974623195337,1200.0,,17.868971921679076,10005637.599849382,4995382.559929709,3337691.279966354,1672563.7599887762,0.18773279660210565,5.326719774592565,1543.8791740330723,771.9395870165362,257.3131956721787,84819.58983036,2348772.8693820136,4291742559.4260364,437.02352316776427,3181.7639848004815,31246171392.873085,15103240505.987513,9373851417.861925,214213444.87005654,21.81312441059738,48996989.155159116,4.989310642170498,2570561338.4406786,261.7574929271686,519953752.5057483,52.94633069387813,663408578.4520229,67.554181137462,431475408.95607126,43.936676250089945,1745322.7653391291,0.17772433770478036,433220731.7214104,0.004028714781040274,374876784087.3973,207192.0
2411,347328.0,144,606,119.06776858,31917016382.8723,9832600.44710813,474501078485133,41063,433286.0,6124011,2019-05-24 00:00:00+00:00,8349.0,280.0,3586604.0,12809.3,1.03519566,273041698.3403292,263758541.18816066,31479052915.9995,0.000699371346812886,0.01943534643620783,4.55e-05,0.0012644330753287915,2.04076559,56.712340900854414,133.71953471,177.10217934092285,0.003479327495616595,27.7897379193141,-73.137202169323,10.518522392204256,9825270.72162717,4283.0,4712.0,73476.7043807,2041898.3579145712,65.91918996,1831.8770128418814,20.57010538,571.637837482873,310611.22310565,8631804.484903613,0.0492932937998943,0.05978701120082006,0.05028579441698295,26.84491335262459,545328.0,4878.152555949986,135562.5810602823,0.18121899470947817,5.5181853403565855,1201.0,,17.868971921679076,10008210.731806079,4996926.439103807,3338463.219553403,1672821.0731844592,0.18768453010660494,5.32808963760625,1543.8791740330723,771.9395870165362,257.3131956721787,72155.06775948,2005170.4225862997,4293747729.848623,437.0106281547357,3187.2267149470686,31315365325.55738,15123425136.190115,9394609597.667213,214237834.69322,21.804776760160344,49520706.49494067,5.040136592464244,2570854016.3186398,261.65732112192416,512311821.22588724,52.142260070065824,650100281.6556008,66.1661444325004,431610971.53713155,43.92865945027641,1745379.47768003,0.17764187136728346,433356351.0148116,0.004027584858495302,375310140438.4121,207264.0
2412,347472.0,144,612,118.64611992,31513607808.503822,9835136.05419083,474176068520437,41016,609485.0,6143500,2019-05-24 00:00:00+00:00,8349.0,280.0,3586604.0,12809.3,1.03519566,273041698.3403292,263758541.18816066,31479052915.9995,0.000699371346812886,0.01943534643620783,4.55e-05,0.0012644330753287915,2.04076559,56.712340900854414,133.71953471,177.10217934092285,0.003479327495616595,27.7897379193141,-73.137202169323,10.518522392204256,9825270.72162717,4283.0,4712.0,73476.7043807,2041898.3579145712,65.91918996,1831.8770128418814,20.57010538,571.637837482873,310611.22310565,8631804.484903613,0.0492932937998943,0.05978701120082006,0.05028579441698295,26.84491335262459,545328.0,4878.152555949986,135562.5810602823,0.18121899470947817,5.5181853403565855,1201.0,,17.868971921679076,10010783.863762775,4998470.318277906,3339235.1591404523,1673078.3863801423,0.1876362884235592,5.329459500619936,1543.8791740330723,771.9395870165362,257.3131956721787,72611.42539104,2017852.481564831,4295765582.330188,437.2160018832298,3195.2030125922065,31393734609.277138,15150888026.356289,9418120382.78314,214262204.30103067,21.80725705902448,49496336.88712999,5.037656293600108,2571146451.612368,261.6870847082938,512311821.22588724,52.142260070065824,650100281.6556008,66.1661444325004,431746534.11819184,43.94245678827362,1745436.190020931,0.17764764345667494,433491970.30821276,0.004026455642949801,375743632408.72034,207336.0
2413,347616.0,144,513,118.07089204,31177658354.080578,9837666.30058201,473056650064578,40899,527501.0,6162801,2019-05-25 00:00:00+00:00,8416.0,302.0,2022104.0,6695.70860927,1.04699441,276892858.8617843,264464506.48111847,31631630820.6102,0.000185202144436256,0.005216492216783717,4.19e-05,0.0011801754485540898,0.50263862,14.157559876351042,210.0814005,178.84454803172773,0.0034939102998246705,28.1664784857778,-71.91111151533312,23.184802767131007,9830581.37713583,4200.0,4364.0,46794.15385479,1318026.5278111189,57.25068226,1612.5501101723908,11.81474748,332.77983071031747,249841.97737799,7037168.680661339,0.0489009900464028,0.05684024054628456,0.05001625622957092,26.90222442959635,545472.0,5310.65550865978,149582.46413004305,0.19717951424207378,5.071520760378371,1202.0,,17.868971921679076,10013356.995719472,5000014.197452004,3340007.0987275015,1673335.6995758254,0.1875880715338403,5.330829363633621,1543.8791740330723,771.9395870165362,257.3131956721787,60570.36761652,1706053.956346363,4297471636.286534,437.15335557688206,3171.543600435042,31178117455.211044,15003197911.555515,9353435236.563313,214288149.06265482,21.79811557849983,50176357.41846365,5.104108851096524,2571457788.7518578,261.57738694199793,417466730.4389276,42.46612834210196,491238510.9393959,49.97044346552368,431896116.5823219,43.933934323236954,1745450.3475808073,0.17755311518405328,433641566.9299027,0.004025099254064258,376177273975.65027,207408.0
2414,347760.0,144,610,116.56173479,35334126024.462524,9840150.08764675,471609612362250,40761,490654.0,6184666,2019-05-25 00:00:00+00:00,8416.0,302.0,2022104.0,6695.70860927,1.04699441,276892858.8617843,264464506.48111847,31631630820.6102,0.000185202144436256,0.005216492216783717,4.19e-05,0.0011801754485540898,0.50263862,14.157559876351042,210.0814005,178.84454803172773,0.0034939102998246705,28.1664784857778,-71.91111151533312,23.184802767131007,9830581.37713583,4200.0,4364.0,46794.15385479,1318026.5278111189,57.25068226,1612.5501101723908,11.81474748,332.77983071031747,249841.97737799,7037168.680661339,0.0489009900464028,0.05684024054628456,0.05001625622957092,26.90222442959635,545472.0,5310.65550865978,149582.46413004305,0.19717951424207378,5.071520760378371,1202.0,,17.868971921679076,10015930.127676168,5001558.076626102,3340779.0383145506,1673593.0127715084,0.18753987941833972,5.3321992266473055,1543.8791740330723,771.9395870165362,257.3131956721787,71102.6582219,2002711.4930887583,4299474347.779623,437.35707816624455,3140.462946986638,30872576562.231953,14810725130.663776,9261772968.669586,214314072.33793396,21.800752581774063,50150434.14318451,5.10147184782229,2571768868.0552073,261.6090309812887,417466730.4389276,42.46612834210196,491238510.9393959,49.97044346552368,432045699.0464519,43.949150357608836,1745464.5051406836,0.17755455533894682,433791163.5515926,0.004023743800703511,376611065139.20184,207480.0
2415,347904.0,144,945,115.00630304,37903484242.56683,9842685.69472941,469519422511306,40571,480305.0,6208102,2019-05-26 00:00:00+00:00,8758.0,309.0,2233267.0,7227.4012945,1.05438791,279691827.0492267,265264637.63355258,34398872179.1799,0.000161455337566845,0.004591097719528612,4.19e-05,0.0011914563949835721,0.48307437,13.7365643768296,210.12845355,179.98663863908635,0.003256672073641145,28.4357134840948,-68.94219441267686,26.391221934965873,9835934.91352588,4490.0,4846.0,46809.15291329,1331051.6606754959,56.68484837,1611.8741071386783,10.0,284.357134840948,274694.77518865,7811141.922842285,0.04890143398148735,0.0566729796319685,0.0495283402460409,26.96892974238515,545616.0,5353.536390049383,152231.62691411944,0.198663451877963,5.0336385004237725,1203.0,,17.868971921679076,10018503.259632865,5003101.955800201,3341550.9779016,1673850.3259671915,0.18749171205796855,5.333569089660991,1543.8791740330723,771.9395870165362,257.3131956721787,108680.9563728,3090420.536594348,4302564768.316217,437.433228883972,3170.6602636679595,31186407986.340855,14886865759.769255,9355922395.902256,214341132.66687074,21.791637963374452,50923504.96668184,5.177291779010698,2572093592.002449,261.4996555604934,409943628.79618573,41.67815590488018,479163104.6704088,48.71556276887192,432197930.67336607,43.940706650979294,1745478.2417050605,0.17745931190585323,433943408.9150711,0.0040223637595257844,377045008548.11694,207552.0
2416,348048.0,144,795,114.90827464,36526708997.484245,9845214.15422337,469420549470905,40559,460680.0,6230682,2019-05-26 00:00:00+00:00,8758.0,309.0,2233267.0,7227.4012945,1.05438791,279691827.0492267,265264637.63355258,34398872179.1799,0.000161455337566845,0.004591097719528612,4.19e-05,0.0011914563949835721,0.48307437,13.7365643768296,210.12845355,179.98663863908635,0.003256672073641145,28.4357134840948,-68.94219441267686,26.391221934965873,9835934.91352588,4490.0,4846.0,46809.15291329,1331051.6606754959,56.68484837,1611.8741071386783,10.0,284.357134840948,274694.77518865,7811141.922842285,0.04890143398148735,0.0566729796319685,0.0495283402460409,26.96892974238515,545616.0,5353.536390049383,152231.62691411944,0.198663451877963,5.0336385004237725,1203.0,,17.868971921679076,10021076.391589561,5004645.834974299,3342322.917488649,1674107.6391628745,0.18744356943365756,5.334938952674676,1543.8791740330723,771.9395870165362,257.3131956721787,91352.0783388,2597661.5258186995,4305162429.842036,437.6973279806676,3175.0099164978724,31229190888.47231,14904148995.780035,9368757266.541693,214368170.6041411,21.794386856845996,50896467.029411495,5.174542885539152,2572418047.249693,261.5326422821519,409943628.79618573,41.67815590488018,479163104.6704088,48.71556276887192,432350162.3002802,43.956183738643304,1745491.9782694373,0.1774607084751166,434095654.2785497,0.004020984686359918,377479104202.3955,207624.0
2417,348192.0,144,736,114.50852386,33857920689.060608,9847711.87908601,470746179420296,40677,448288.0,6251616,2019-05-27 00:00:00+00:00,8749.0,262.0,2199891.0,8396.53053435,1.08087235,287893429.5806933,266352849.1525073,36637227629.7517,0.000206512989690722,0.006041733274817663,4.55e-05,0.0013311456311581064,0.64101632,18.753540085033993,151.20883682,184.29274139926474,0.0033182097860900085,29.2559479375408,-68.27538161221443,27.06738808306413,9840509.362244,4384.0,5159.0,65078.93036635,1903945.7986287787,62.92504614,1840.9318738391926,11.21446702,328.08986328438834,324630.313047,9497367.537450604,0.04843294261014478,0.05673097394603984,0.0495926884089045,27.06697787153662,545760.0,4574.448718121275,133829.83354030628,0.16967351187332422,5.893671846355049,1204.0,,17.868971921679076,10023649.523546258,5006189.714148398,3343094.857075698,1674364.9523585576,0.18739545152635703,5.336308815688361,1543.8791740330723,771.9395870165362,257.3131956721787,84278.27356095999,2465640.783565267,4307628070.625602,437.7444207464585,3167.800520597668,31172770680.66277,14912299922.369768,9351831204.19883,214398578.07270044,21.787345571287545,51954271.079806864,5.279632300249077,2572782936.872405,261.4481468554505,601003948.8032333,61.07447558651396,808881496.164706,82.19914908756827,432483992.13382053,43.94935020266046,1745510.7318095223,0.17738012002779915,434229502.86563003,0.004019788430519566,377913333705.2611,207696.0
2418,348336.0,144,964,114.13989533,32268354706.88159,9850218.89581393,472036775352086,40795,488481.0,6271568,2019-05-27 00:00:00+00:00,8749.0,262.0,2199891.0,8396.53053435,1.08087235,287893429.5806933,266352849.1525073,36637227629.7517,0.000206512989690722,0.006041733274817663,4.55e-05,0.0013311456311581064,0.64101632,18.753540085033993,151.20883682,184.29274139926474,0.0033182097860900085,29.2559479375408,-68.27538161221443,27.06738808306413,9840509.362244,4384.0,5159.0,65078.93036635,1903945.7986287787,62.92504614,1840.9318738391926,11.21446702,328.08986328438834,324630.313047,9497367.537450604,0.04843294261014478,0.05673097394603984,0.0495926884089045,27.06697787153662,545760.0,4574.448718121275,133829.83354030628,0.16967351187332422,5.893671846355049,1204.0,,17.868971921679076,10026222.655502954,5007733.593322496,3343866.7966627474,1674622.2655542407,0.18734735831703683,5.337678678702046,1543.8791740330723,771.9395870165362,257.3131956721787,110030.85909812,3219057.085297486,4310847127.710899,438.07154376080655,3179.0429280484777,31283401696.436626,15006251724.61857,9385020508.930988,214428960.40073186,21.790433046428618,51923888.75177544,5.276544825108004,2573147524.8087826,261.4851965571434,601003948.8032333,61.07447558651396,808881496.164706,82.19914908756827,432617821.96736085,43.96295009150908,1745529.4853496072,0.17738202577671872,434363351.45271045,0.004018592911929046,378347697056.7138,207768.0
