,blk,window,time,ticket_count,ticket_price,missed,pow_diff
242,34992,144,1465334509,409,27.75225349,19.0,737017.73580656
243,35136,144,1465382320,606,22.72253805,9.0,790252.4655058
244,35280,144,1465422164,1172,20.07566466,22.0,774996.19412001
245,35424,144,1465472270,231,26.98510779,17.0,798142.55898987
246,35568,144,1465516138,927,22.66271576,8.0,749126.76453394
247,35712,144,1465564417,250,25.26190839,14.0,720005.27191704
248,35856,144,1465593747,2860,18.98413392,23.0,667284.60356312
249,36000,144,1465640260,38,48.11919073,22.0,759165.50821864
250,36144,144,1465678846,16,62.05042052,53.0,776377.43245591
251,36288,144,1465725991,345,40.71642832,128.0,829895.7478192
252,36432,144,1465766474,688,25.55912509,21.0,818909.44923892
253,36576,144,1465814263,2845,22.20463191,26.0,839682.73709597
254,36720,144,1465855304,21,59.10811303,18.0,806810.00035222
255,36864,144,1465895723,12,77.73265247,27.0,810551.7827136
256,37008,144,1465940586,257,52.04185768,23.0,839511.55435968
257,37152,144,1465991078,370,29.62987795,14.0,837836.11754298
258,37296,144,1466047888,2860,17.52043499,15.0,771916.06018376
259,37440,144,1466091257,25,45.47432378,17.0,643144.55615213
260,37584,144,1466140300,16,58.31181686,16.0,583580.50506091
261,37728,144,1466171586,415,37.701493,32.0,521677.7703307
262,37872,144,1466201649,1097,25.82322715,29.0,566156.91737314
263,38016,144,1466243472,261,32.17812609,14.0,700109.17205256
264,38160,144,1466284699,578,26.30337795,12.0,788058.75782149
265,38304,144,1466341520,1885,22.56316632,17.0,855318.51958801
266,38448,144,1466376123,18,43.17501654,10.0,764816.50269583
267,38592,144,1466424236,327,41.05920686,15.0,796963.51532504
268,38736,144,1466470068,506,30.07420028,6.0,768754.40965048
269,38880,144,1466512936,1695,23.45759112,11.0,732977.50962475
270,39024,144,1466552180,9,40.34980576,16.0,718209.58921093
271,39168,144,1466602887,182,34.13243871,9.0,744649.33628711
272,39312,144,1466641090,2678,19.26038306,10.0,696498.20383073
273,39456,144,1466678749,36,45.93660407,18.0,713091.33550083
274,39600,144,1466717932,37,54.90193762,13.0,771549.34469576
275,39744,144,1466770748,578,34.06771561,18.0,842649.41141487
276,39888,144,1466816769,1048,26.97980596,20.0,788180.21673445
277,40032,144,1466858504,401,33.28814518,28.0,738546.49778872
278,40176,144,1466904159,371,30.48132266,33.0,726454.12122425
279,40320,144,1466946538,1748,22.70209583,24.0,700711.96401019
280,40464,144,1466980969,56,39.14732734,17.0,694553.93292454
281,40608,144,1467028667,360,34.97279904,31.0,769214.25082589
282,40752,144,1467070241,1659,25.19027895,16.0,766508.31036935
283,40896,144,1467121760,42,41.69063719,20.0,779807.36331675
284,41040,144,1467157921,411,35.28389041,21.0,716894.63559478
285,41184,144,1467199674,961,25.69406412,24.0,744896.53752582
286,41328,144,1467234188,586,28.54719116,28.0,772348.76649108
287,41472,144,1467286719,410,28.24633704,42.0,875981.23149436
288,41616,144,1467332629,2152,22.5880996,24.0,835186.03243378
289,41760,144,1467384678,21,45.19243452,30.0,791054.70898116
290,41904,144,1467421437,301,45.54634704,23.0,699854.71378386
291,42048,144,1467462527,316,33.0805015,26.0,706490.45803543
292,42192,144,1467495947,2461,20.44751306,28.0,727678.69116497
293,42336,144,1467545465,26,44.30511626,39.0,834258.28101775
294,42480,144,1467587383,265,47.65618399,22.0,826613.89737309
295,42624,144,1467631450,498,34.60599234,20.0,835144.16316188
296,42768,144,1467671497,974,26.33257449,21.0,831049.30428867
297,42912,144,1467719329,455,29.45938963,8.0,860325.95556488
298,43056,144,1467758059,686,26.10253614,20.0,829952.75441436
299,43200,144,1467808081,1160,24.71445549,19.0,858665.06092294
300,43344,144,1467846302,234,32.62765338,12.0,808354.02363684
301,43488,144,1467885937,699,26.75480134,37.0,830365.18911571
302,43632,144,1467923754,989,24.64787878,23.0,878243.38563412
303,43776,144,1467973565,450,29.28118072,16.0,964637.55564349
304,43920,144,1468021559,606,26.66937857,20.0,934966.06687398
305,44064,144,1468068479,1409,23.68158543,17.0,872695.99681875
306,44208,144,1468107915,194,34.55234567,19.0,809001.74130071
307,44352,144,1468151818,228,29.78820126,18.0,812412.60746137
308,44496,144,1468185464,2713,17.80011653,13.0,807537.67833483
309,44640,144,1468231724,20,40.52379598,23.0,904865.51681683
310,44784,144,1468274572,272,45.84289069,11.0,921793.36855643
311,44928,144,1468330112,302,34.61448834,11.0,934177.24093984
312,45072,144,1468365785,1950,21.76648952,31.0,822197.30027878
313,45216,144,1468428737,98,38.82897489,101.0,838138.85084108
314,45360,144,1468470856,282,36.74553568,108.0,687505.69051031
315,45504,144,1468503940,1059,24.90225612,103.0,626692.40547844
316,45648,144,1468543505,409,28.52927983,122.0,672824.11246465
317,45792,144,1468582606,788,24.80089014,110.0,728443.79333168
318,45936,144,1468630536,599,25.18745713,111.0,796652.84724844
319,46080,144,1468678162,872,23.76290088,54.0,787256.37581125
320,46224,144,1468712778,625,26.15131237,10.0,744665.47503378
321,46368,144,1468758394,553,25.86733699,16.0,801365.90017973
322,46512,144,1468799017,1393,22.95116436,10.0,807352.07879265
323,46656,144,1468844495,289,32.87711235,9.0,835364.9757139
324,46800,144,1468889429,118,30.14427756,5.0,827422.58393355
325,46944,144,1468933506,2860,16.39371664,16.0,807344.96485334
326,47088,144,1468976302,48,38.35541237,25.0,789514.20454366
327,47232,144,1469019363,13,45.52903863,18.0,784324.8786306
328,47376,144,1469058712,757,27.19583052,26.0,782994.41437156
329,47520,144,1469107132,987,24.1888475,21.0,818794.18907346
330,47664,144,1469150775,508,28.76987524,20.0,788397.24117755
331,47808,144,1469195959,509,27.92262543,11.0,769614.84118351
332,47952,144,1469240232,1753,24.17733221,8.0,743470.5805792
333,48096,144,1469280698,20,41.60439468,12.0,721815.16886418
334,48240,144,1469316846,513,35.9531893,14.0,734032.04157331
335,48384,144,1469361001,645,28.95180114,14.0,806577.39662446
336,48528,144,1469402235,665,25.91640957,11.0,834895.57154735
337,48672,144,1469451657,1135,24.07965889,14.0,869423.62404665
338,48816,144,1469513227,348,30.87955374,18.0,826325.02011147
339,48960,144,1469554538,279,27.3607531,25.0,667093.50975344
340,49104,144,1469601591,2867,17.7695929,16.0,607839.2281539
341,49248,144,1469635027,33,42.79087842,14.0,555948.75567518
342,49392,144,1469677724,87,51.72525254,14.0,595451.61144204
343,49536,144,1469716151,204,34.31936645,19.0,619611.7479163
344,49680,144,1469763441,2779,17.51255759,19.0,669662.1528323
345,49824,144,1469807769,37,41.61340086,10.0,663052.88621428
346,49968,144,1469847089,151,49.30705002,12.0,651303.561341
347,50112,144,1469886961,426,34.35618325,14.0,675547.55278604
348,50256,144,1469924421,2086,24.1179401,20.0,715973.11299014
349,50400,144,1469970122,19,47.68309652,23.0,790839.06336021
350,50544,144,1470016750,246,46.80092809,25.0,805652.45372331
351,50688,144,1470061527,467,31.71184788,24.0,781820.75177448
352,50832,144,1470107751,2858,22.72642583,22.0,756483.35801749
353,50976,144,1470154603,10,58.4710762,18.0,719263.90113035
354,51120,144,1470189855,25,73.99563922,11.0,673378.75454663
